,how out,fielder,bowler,runs,Inns,opposition,Ground,Start Date,Test_no,batsman,bowler_type,match_type,team
0,caught,TWM Latham,C de Grandhomme,20,1,ODI v New Zealand,Hamilton,5 Feb 2020,ODI # 4235,P Shaw,right_arm_pace,T20,Delhi Capitals
1,bowled,,KA Jamieson,24,2,ODI v New Zealand,Auckland,8 Feb 2020,ODI # 4239,P Shaw,right_arm_pace,T20,Delhi Capitals
2,bowled,,TG Southee,16,1,Test v New Zealand,Wellington,21 Feb 2020,Test # 2385,P Shaw,right_arm_pace,T20,Delhi Capitals
3,caught,TWM Latham,KA Jamieson,54,1,Test v New Zealand,Christchurch,29 Feb 2020,Test # 2387,P Shaw,right_arm_pace,T20,Delhi Capitals
4,caught,TWM Latham,TG Southee,14,3,Test v New Zealand,Christchurch,29 Feb 2020,Test # 2387,P Shaw,right_arm_pace,T20,Delhi Capitals
5,caught,D Bishoo,D Bishoo,134,1,Test v West Indies,Rajkot,4 Oct 2018,Test # 2319,P Shaw,right_arm_spin,T20,Delhi Capitals
6,caught,TWM Latham,TA Boult,14,3,Test v New Zealand,Wellington,21 Feb 2020,Test # 2385,P Shaw,left_arm_pace,T20,Delhi Capitals
7,caught,SO Hetmyer,JA Warrican,70,2,Test v West Indies,Hyderabad (Deccan),12 Oct 2018,Test # 2321,P Shaw,left_arm_spin,T20,Delhi Capitals
8,caught,ADS Fletcher,DJG Sammy,5,1,v West Indies,Port of Spain,4 Jun 2011,T20I # 200,S Dhawan,right_arm_pace,T20,Delhi Capitals
9,caught,Saeed Ajmal,Umar Gul,30,2,v Pakistan,Dhaka,21 Mar 2014,T20I # 378,S Dhawan,right_arm_pace,T20,Delhi Capitals
10,bowled,,Al-Amin Hossain,1,2,v Bangladesh,Dhaka,28 Mar 2014,T20I # 389,S Dhawan,right_arm_pace,T20,Delhi Capitals
11,bowled,,CR Woakes,33,2,v England,Birmingham,7 Sep 2014,T20I # 405,S Dhawan,right_arm_pace,T20,Delhi Capitals
12,lbw,,CH Morris,11,1,v South Africa,Cuttack,5 Oct 2015,T20I # 457,S Dhawan,right_arm_pace,T20,Delhi Capitals
13,caught,MS Wade,SR Watson,5,1,v Australia,Adelaide,26 Jan 2016,T20I # 485,S Dhawan,right_arm_pace,T20,Delhi Capitals
14,caught,CT Bancroft,SR Watson,26,2,v Australia,Sydney,31 Jan 2016,T20I # 489,S Dhawan,right_arm_pace,T20,Delhi Capitals
15,caught,MD Gunathilaka,CAK Rajitha,9,1,v Sri Lanka,Pune,9 Feb 2016,T20I # 496,S Dhawan,right_arm_pace,T20,Delhi Capitals
16,caught,LD Chandimal,PVD Chameera,51,1,v Sri Lanka,Ranchi,12 Feb 2016,T20I # 497,S Dhawan,right_arm_pace,T20,Delhi Capitals
17,bowled,,Al-Amin Hossain,2,1,v Bangladesh,Dhaka,24 Feb 2016,T20I # 509,S Dhawan,right_arm_pace,T20,Delhi Capitals
18,caught,LD Chandimal,KMDN Kulasekara,1,2,v Sri Lanka,Dhaka,1 Mar 2016,T20I # 515,S Dhawan,right_arm_pace,T20,Delhi Capitals
19,caught,Soumya Sarkar,Taskin Ahmed,60,2,v Bangladesh,Dhaka,6 Mar 2016,T20I # 521,S Dhawan,right_arm_pace,T20,Delhi Capitals
20,bowled,,Mohammad Sami,6,2,v Pakistan,Kolkata,19 Mar 2016,T20I # 541,S Dhawan,right_arm_pace,T20,Delhi Capitals
21,caught,UT Khawaja,NM Coulter-Nile,13,2,v Australia,Mohali,27 Mar 2016,T20I # 553,S Dhawan,right_arm_pace,T20,Delhi Capitals
