,dismissal,Dis,bwd,c_fie,c_wk,st,lbw,hw,ro,oth,no,ave,0s,batsman,match_type,Team
0,right-arm bowler,6,2,3,1,0,0,0,0,0,0,43.66,0,P Shaw,ALL,Delhi Capitals
1,left-arm bowler,2,0,2,0,0,0,0,0,0,0,42.00,0,P Shaw,ALL,Delhi Capitals
2,unknown arm,1,0,0,0,0,0,0,1,0,0,40.00,0,P Shaw,ALL,Delhi Capitals
3,pace bowler,6,2,3,1,0,0,0,0,0,0,23.66,0,P Shaw,ALL,Delhi Capitals
4,spin bowler,2,0,2,0,0,0,0,0,0,0,102.00,0,P Shaw,ALL,Delhi Capitals
5,mixture/unknown,1,0,0,0,0,0,0,1,0,0,40.00,0,P Shaw,ALL,Delhi Capitals
6,right-arm pace,5,2,2,1,0,0,0,0,0,0,25.60,0,P Shaw,ALL,Delhi Capitals
7,right-arm spin,1,0,1,0,0,0,0,0,0,0,134.00,0,P Shaw,ALL,Delhi Capitals
8,left-arm pace,1,0,1,0,0,0,0,0,0,0,14.00,0,P Shaw,ALL,Delhi Capitals
9,left-arm spin,1,0,1,0,0,0,0,0,0,0,70.00,0,P Shaw,ALL,Delhi Capitals
10,right-arm bowler,35,9,15,7,0,4,0,0,0,0,28.17,1,S Dhawan,T20,Delhi Capitals
11,left-arm bowler,16,2,10,0,1,3,0,0,0,0,25.06,0,S Dhawan,T20,Delhi Capitals
12,unknown arm,5,0,0,0,0,0,0,5,0,0,24.80,0,S Dhawan,T20,Delhi Capitals
13,pace bowler,33,10,14,6,0,3,0,0,0,0,22.60,0,S Dhawan,T20,Delhi Capitals
14,spin bowler,18,1,11,1,1,4,0,0,0,0,35.61,1,S Dhawan,T20,Delhi Capitals
15,mixture/unknown,5,0,0,0,0,0,0,5,0,0,24.80,0,S Dhawan,T20,Delhi Capitals
16,right-arm pace,26,8,11,6,0,1,0,0,0,0,26.07,0,S Dhawan,T20,Delhi Capitals
17,right-arm spin,9,1,4,1,0,3,0,0,0,0,34.22,1,S Dhawan,T20,Delhi Capitals
18,left-arm pace,7,2,3,0,0,2,0,0,0,0,9.71,0,S Dhawan,T20,Delhi Capitals
19,left-arm spin,9,0,7,0,1,1,0,0,0,0,37.00,0,S Dhawan,T20,Delhi Capitals
20,mixture/unknown,5,0,0,0,0,0,0,5,0,0,24.80,0,S Dhawan,T20,Delhi Capitals
21,right-arm bowler,14,2,11,1,0,0,0,0,0,0,21.00,1,A Rahane,T20,Delhi Capitals
22,left-arm bowler,3,0,1,1,0,1,0,0,0,0,17.00,1,A Rahane,T20,Delhi Capitals
23,unknown arm,1,0,0,0,0,0,0,1,0,0,4.00,0,A Rahane,T20,Delhi Capitals
24,pace bowler,12,1,8,2,0,1,0,0,0,0,18.00,2,A Rahane,T20,Delhi Capitals
25,spin bowler,5,1,4,0,0,0,0,0,0,0,25.80,0,A Rahane,T20,Delhi Capitals
26,mixture/unknown,1,0,0,0,0,0,0,1,0,0,4.00,0,A Rahane,T20,Delhi Capitals
27,right-arm pace,9,1,7,1,0,0,0,0,0,0,18.33,1,A Rahane,T20,Delhi Capitals
28,right-arm spin,5,1,4,0,0,0,0,0,0,0,25.80,0,A Rahane,T20,Delhi Capitals
29,left-arm pace,3,0,1,1,0,1,0,0,0,0,17.00,1,A Rahane,T20,Delhi Capitals
30,mixture/unknown,1,0,0,0,0,0,0,1,0,0,4.00,0,A Rahane,T20,Delhi Capitals
31,right-arm bowler,11,0,8,2,0,1,0,0,0,0,20.90,1,S Iyer,T20,Delhi Capitals
32,left-arm bowler,3,0,1,0,2,0,0,0,0,0,8.66,0,S Iyer,T20,Delhi Capitals
33,unknown arm,1,0,0,0,0,0,0,1,0,0,30.00,0,S Iyer,T20,Delhi Capitals
34,pace bowler,6,0,4,1,0,1,0,0,0,0,24.50,1,S Iyer,T20,Delhi Capitals
35,spin bowler,8,0,5,1,2,0,0,0,0,0,13.62,0,S Iyer,T20,Delhi Capitals
