,how out,fielder,bowler,runs,Inns,opposition,Ground,Start Date,Test_no,batsman,bowler_type,match_type,Team
0,bowled,,JR Hopes,8,1,v Australia,Melbourne,1 Feb 2008,T20I # 52,RG Sharma,right_arm_pace,T20,Mumbai Indians
1,caught,BB McCullum,IG Butler,7,1,v New Zealand,Christchurch,25 Feb 2009,T20I # 84,RG Sharma,right_arm_pace,T20,Mumbai Indians
2,caught,LMP Simmons,FH Edwards,5,1,v West Indies,Lord's,12 Jun 2009,T20I # 105,RG Sharma,right_arm_pace,T20,Mumbai Indians
3,caught,D Ramdin,KA Pollard,5,2,v West Indies,Bridgetown,9 May 2010,T20I # 169,RG Sharma,right_arm_pace,T20,Mumbai Indians
4,bowled,,CD Barnwell,26,1,v West Indies,Port of Spain,4 Jun 2011,T20I # 200,RG Sharma,right_arm_pace,T20,Mumbai Indians
5,caught,BJ Haddin,CJ McKay,8,2,v Australia,Rajkot,10 Oct 2013,T20I # 331,RG Sharma,right_arm_pace,T20,Mumbai Indians
6,caught,Nasir Hossain,Mashrafe Mortaza,56,2,v Bangladesh,Dhaka,28 Mar 2014,T20I # 389,RG Sharma,right_arm_pace,T20,Mumbai Indians
7,caught,CH Morris,KJ Abbott,106,1,v South Africa,Dharamsala,2 Oct 2015,T20I # 456,RG Sharma,right_arm_pace,T20,Mumbai Indians
8,caught,JP Faulkner,SR Watson,31,1,v Australia,Adelaide,26 Jan 2016,T20I # 485,RG Sharma,right_arm_pace,T20,Mumbai Indians
9,caught,PVD Chameera,CAK Rajitha,0,1,v Sri Lanka,Pune,9 Feb 2016,T20I # 496,RG Sharma,right_arm_pace,T20,Mumbai Indians
10,caught,PVD Chameera,PVD Chameera,43,1,v Sri Lanka,Ranchi,12 Feb 2016,T20I # 497,RG Sharma,right_arm_pace,T20,Mumbai Indians
11,lbw,,PVD Chameera,13,2,v Sri Lanka,Visakhapatnam,14 Feb 2016,T20I # 499,RG Sharma,right_arm_pace,T20,Mumbai Indians
12,caught,Soumya Sarkar,Al-Amin Hossain,83,1,v Bangladesh,Dhaka,24 Feb 2016,T20I # 509,RG Sharma,right_arm_pace,T20,Mumbai Indians
13,caught,CK Kapugedera,KMDN Kulasekara,15,2,v Sri Lanka,Dhaka,1 Mar 2016,T20I # 515,RG Sharma,right_arm_pace,T20,Mumbai Indians
14,caught,Mohammad Naveed,Qadeer Ahmed,39,2,v U.A.E.,Dhaka,3 Mar 2016,T20I # 517,RG Sharma,right_arm_pace,T20,Mumbai Indians
15,caught,Soumya Sarkar,Al-Amin Hossain,1,2,v Bangladesh,Dhaka,6 Mar 2016,T20I # 521,RG Sharma,right_arm_pace,T20,Mumbai Indians
16,bowled,,SR Watson,12,2,v Australia,Mohali,27 Mar 2016,T20I # 553,RG Sharma,right_arm_pace,T20,Mumbai Indians
17,caught,J Charles,KA Pollard,62,2,v West Indies,Lauderhill,27 Aug 2016,T20I # 562,RG Sharma,right_arm_pace,T20,Mumbai Indians
18,caught,NLTC Perera,SL Malinga,9,2,v Sri Lanka,Colombo (RPS),6 Sep 2017,T20I # 618,RG Sharma,right_arm_pace,T20,Mumbai Indians
19,bowled,,NM Coulter-Nile,11,2,v Australia,Ranchi,7 Oct 2017,T20I # 623,RG Sharma,right_arm_pace,T20,Mumbai Indians
20,caught,MJ Santner,TG Southee,8,1,v New Zealand,Thiruvananthapuram,7 Nov 2017,T20I # 632,RG Sharma,right_arm_pace,T20,Mumbai Indians
21,caught,PVD Chameera,AD Mathews,17,1,v Sri Lanka,Cuttack,20 Dec 2017,T20I # 633,RG Sharma,right_arm_pace,T20,Mumbai Indians
22,caught,A Dananjaya,PVD Chameera,118,1,v Sri Lanka,Indore,22 Dec 2017,T20I # 634,RG Sharma,right_arm_pace,T20,Mumbai Indians
23,caught,MDKJ Perera,MD Shanaka,27,2,v Sri Lanka,Mumbai,24 Dec 2017,T20I # 635,RG Sharma,right_arm_pace,T20,Mumbai Indians
24,caught,H Klaasen,CJ Dala,21,1,v South Africa,Johannesburg,18 Feb 2018,T20I # 652,RG Sharma,right_arm_pace,T20,Mumbai Indians
25,lbw,,CJ Dala,0,1,v South Africa,Centurion,21 Feb 2018,T20I # 654,RG Sharma,right_arm_pace,T20,Mumbai Indians
26,lbw,,CJ Dala,11,1,v South Africa,Cape Town,24 Feb 2018,T20I # 655,RG Sharma,right_arm_pace,T20,Mumbai Indians
27,caught,BMAJ Mendis,PVD Chameera,0,1,v Sri Lanka,Colombo (RPS),6 Mar 2018,T20I # 656,RG Sharma,right_arm_pace,T20,Mumbai Indians
28,bowled,,PKD Chase,97,1,v Ireland,Dublin (Malahide),27 Jun 2018,T20I # 678,RG Sharma,right_arm_pace,T20,Mumbai Indians
29,caught,PR Stirling,KJ O'Brien,0,1,v Ireland,Dublin (Malahide),29 Jun 2018,T20I # 680,RG Sharma,right_arm_pace,T20,Mumbai Indians
